OID_,Join_Count,STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,PEDS,HARM_EV,TRAF_FLO,NO_LANES,HIT_RUN,WEATHER,FATALS,DAY_WEEK,DRUNK_DR,YEAR,TWAY_ID,latitude,longitude,metro
15,1,6,59,1,12,17,24,3,2,Pedestrian,5,2,0,1,1,4,0,2005,N ORANGE OLIVE RD,33.82165556,-117.8511861,Anaheim-Santa Ana-Irvine MD
31,1,6,59,1,9,23,59,2,1,Pedestrian,1,2,0,2,1,1,1,2005,FIRST STREET,33.74533333,-117.8980167,Anaheim-Santa Ana-Irvine MD
35,1,6,59,1,19,10,49,3,1,Pedestrian,1,2,0,1,1,4,0,2005,PARTON ST,33.754775,-117.8746861,Anaheim-Santa Ana-Irvine MD
44,1,6,59,1,27,5,37,2,1,Pedestrian,2,3,2,1,1,5,1,2005,LOS ALAMITOS BLVD,33.79228611,-118.0719389,Anaheim-Santa Ana-Irvine MD
49,1,6,59,1,28,5,36,2,1,Pedestrian,2,4,0,1,1,6,0,2005,SR-39,33.74483056,-117.9893917,Anaheim-Santa Ana-Irvine MD
63,1,6,59,1,12,19,29,3,1,Pedestrian,1,4,0,1,1,4,1,2005,BROOKHURST RD,33.86613056,-117.9593778,Anaheim-Santa Ana-Irvine MD
69,1,6,59,2,14,19,54,2,1,Pedestrian,5,2,0,1,1,2,1,2005,INDIANAPOLIS AVE,33.66487222,-117.9830972,Anaheim-Santa Ana-Irvine MD
103,1,6,59,2,26,14,44,2,1,Pedestrian,1,4,0,1,1,7,0,2005,WESTERN AVE,33.86825833,-118.0025556,Anaheim-Santa Ana-Irvine MD
121,1,6,59,3,14,17,48,2,1,Bicyclist,1,4,0,1,1,2,1,2005,ATLANTA AVE,33.65763056,-117.9912972,Anaheim-Santa Ana-Irvine MD
146,1,6,59,3,21,6,25,2,1,Pedestrian,1,2,0,1,1,2,0,2005,DALE ST,33.77574167,-117.9840306,Anaheim-Santa Ana-Irvine MD
161,1,6,59,3,28,17,50,8,6,Pedestrian,2,3,0,1,1,2,0,2005,W KATELLA AVE,33.80341389,-117.9152417,Anaheim-Santa Ana-Irvine MD
