metro,YEAR,Pedestrian,Bicyclist
Anaheim-Santa Ana-Irvine MD,2001,30,8
Anaheim-Santa Ana-Irvine MD,2002,34,7
Anaheim-Santa Ana-Irvine MD,2003,46,8
Anaheim-Santa Ana-Irvine MD,2004,42,6
Anaheim-Santa Ana-Irvine MD,2005,40,8
Anaheim-Santa Ana-Irvine MD,2006,37,18
Anaheim-Santa Ana-Irvine MD,2007,38,14
Anaheim-Santa Ana-Irvine MD,2008,28,8
Anaheim-Santa Ana-Irvine MD,2009,34,11
Anaheim-Santa Ana-Irvine MD,2010,26,3
Anaheim-Santa Ana-Irvine MD,2011,32,12
Anaheim-Santa Ana-Irvine MD,2012,40,12
Anaheim-Santa Ana-Irvine MD,2013,52,7
Anaheim-Santa Ana-Irvine MD,2014,39,15
Anaheim-Santa Ana-Irvine MD,2015,46,13
Anaheim-Santa Ana-Irvine MD,2016,60,8
Anaheim-Santa Ana-Irvine MD,2017,48,12
Anaheim-Santa Ana-Irvine MD,2018,56,12
Anaheim-Santa Ana-Irvine MD,2019,46,11
Anaheim-Santa Ana-Irvine MD,2020,61,13
Bakersfield MSA,2001,6,1
Bakersfield MSA,2002,9,5
Bakersfield MSA,2003,10,5
Bakersfield MSA,2004,11,
Bakersfield MSA,2005,12,3
Bakersfield MSA,2006,19,5
Bakersfield MSA,2007,8,2
Bakersfield MSA,2008,13,3
Bakersfield MSA,2009,10,2
Bakersfield MSA,2010,12,
Bakersfield MSA,2011,12,1
Bakersfield MSA,2012,16,2
Bakersfield MSA,2013,18,
Bakersfield MSA,2014,14,3
Bakersfield MSA,2015,19,1
Bakersfield MSA,2016,21,3
Bakersfield MSA,2017,27,4
Bakersfield MSA,2018,9,2
Bakersfield MSA,2019,19,4
Bakersfield MSA,2020,20,2
Carson City Metropolitan,2002,1,
Carson City Metropolitan,2003,2,
Carson City Metropolitan,2005,1,
Carson City Metropolitan,2006,2,
Carson City Metropolitan,2009,2,
Carson City Metropolitan,2013,2,
Carson City Metropolitan,2014,1,
Carson City Metropolitan,2015,1,
Carson City Metropolitan,2016,4,
Carson City Metropolitan,2017,1,
Carson City Metropolitan,2018,1,
Carson City Metropolitan,2020,1,1
CenCal,2001,2,2
CenCal,2002,3,
CenCal,2003,7,
CenCal,2004,4,
CenCal,2005,3,
CenCal,2006,6,1
CenCal,2007,6,
CenCal,2008,2,
CenCal,2009,4,1
CenCal,2010,4,1
CenCal,2011,8,3
CenCal,2012,3,2
CenCal,2013,5,1
CenCal,2014,3,1
CenCal,2015,5,
CenCal,2016,11,2
CenCal,2017,11,
CenCal,2018,9,2
CenCal,2019,5,
CenCal,2020,13,3
Chico MSA,2002,2,3
Chico MSA,2003,2,1
Chico MSA,2004,2,
Chico MSA,2005,3,1
Chico MSA,2006,3,
Chico MSA,2007,4,1
Chico MSA,2008,1,
Chico MSA,2009,1,
Chico MSA,2010,6,
Chico MSA,2011,2,
Chico MSA,2012,2,3
Chico MSA,2013,3,3
Chico MSA,2014,,1
Chico MSA,2015,8,
Chico MSA,2016,9,1
Chico MSA,2017,4,2
Chico MSA,2018,4,1
Chico MSA,2019,5,
Chico MSA,2020,7,
Eastern Sierras,2001,1,
Eastern Sierras,2004,2,
Eastern Sierras,2009,2,
Eastern Sierras,2012,1,
Eastern Sierras,2013,1,
Eastern Sierras,2015,2,
Eastern Sierras,2016,1,
Eastern Sierras,2017,1,
Eastern Sierras,2018,1,
Eastern Sierras,2019,3,
El Centro MSA,2002,2,
