metro,YEAR,Pedestrian,Bicyclist,latitude,longitude
(blank),2001,88,15,,
(blank),2002,147,36,,
(blank),2003,160,23,,
(blank),2004,163,25,,
(blank),2005,168,22,,
(blank),2006,157,35,,
(blank),2007,140,31,,
(blank),2008,144,32,,
(blank),2009,140,30,,
(blank),2010,124,27,,
(blank),2011,141,36,,
(blank),2012,143,30,,
(blank),2013,157,48,,
(blank),2014,157,34,,
(blank),2015,179,42,,
(blank),2016,185,46,,
(blank),2017,208,39,,
(blank),2018,208,41,,
(blank),2019,233,44,,
(blank),2020,222,38,,
Anaheim-Santa Ana-Irvine MD,2001,30,8,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2002,34,7,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2003,46,8,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2004,42,6,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2005,40,8,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2006,37,18,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2007,38,14,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2008,28,8,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2009,34,11,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2010,26,3,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2011,32,12,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2012,40,12,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2013,52,7,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2014,39,15,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2015,46,13,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2016,60,8,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2017,48,12,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2018,56,12,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2019,46,11,33.71578619,-117.8270836
Anaheim-Santa Ana-Irvine MD,2020,61,13,33.71578619,-117.8270836
Bakersfield Metropolitan,2001,6,1,35.27740457,-118.7546398
Bakersfield Metropolitan,2002,9,5,35.27740457,-118.7546398
Bakersfield Metropolitan,2003,10,5,35.27740457,-118.7546398
Bakersfield Metropolitan,2004,11,0,35.27740457,-118.7546398
Bakersfield Metropolitan,2005,12,3,35.27740457,-118.7546398
Bakersfield Metropolitan,2006,19,5,35.27740457,-118.7546398
Bakersfield Metropolitan,2007,8,2,35.27740457,-118.7546398
Bakersfield Metropolitan,2008,13,3,35.27740457,-118.7546398
Bakersfield Metropolitan,2009,10,2,35.27740457,-118.7546398
Bakersfield Metropolitan,2010,12,0,35.27740457,-118.7546398
Bakersfield Metropolitan,2011,12,1,35.27740457,-118.7546398
Bakersfield Metropolitan,2012,16,2,35.27740457,-118.7546398
Bakersfield Metropolitan,2013,18,0,35.27740457,-118.7546398
Bakersfield Metropolitan,2014,14,3,35.27740457,-118.7546398
Bakersfield Metropolitan,2015,19,1,35.27740457,-118.7546398
Bakersfield Metropolitan,2016,21,3,35.27740457,-118.7546398
Bakersfield Metropolitan,2017,27,4,35.27740457,-118.7546398
Bakersfield Metropolitan,2018,9,2,35.27740457,-118.7546398
Bakersfield Metropolitan,2019,19,4,35.27740457,-118.7546398
Bakersfield Metropolitan,2020,20,2,35.27740457,-118.7546398
Carson City Metropolitan,2001,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2002,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2003,2,0,39.15120523,-119.7461904
Carson City Metropolitan,2004,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2005,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2006,2,0,39.15120523,-119.7461904
Carson City Metropolitan,2007,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2008,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2009,2,0,39.15120523,-119.7461904
Carson City Metropolitan,2010,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2011,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2012,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2013,2,0,39.15120523,-119.7461904
Carson City Metropolitan,2014,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2015,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2016,4,0,39.15120523,-119.7461904
Carson City Metropolitan,2017,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2018,1,0,39.15120523,-119.7461904
Carson City Metropolitan,2019,0,0,39.15120523,-119.7461904
Carson City Metropolitan,2020,1,1,39.15120523,-119.7461904
CenCal,2001,2,2,40.01011411,-122.6615611
CenCal,2002,3,0,40.01011411,-122.6615611
CenCal,2003,7,0,40.01011411,-122.6615611
CenCal,2004,4,0,40.01011411,-122.6615611
CenCal,2005,3,0,40.01011411,-122.6615611
CenCal,2006,6,1,40.01011411,-122.6615611
CenCal,2007,6,0,40.01011411,-122.6615611
CenCal,2008,2,0,40.01011411,-122.6615611
CenCal,2009,4,1,40.01011411,-122.6615611
CenCal,2010,4,1,40.01011411,-122.6615611
CenCal,2011,8,3,40.01011411,-122.6615611
CenCal,2012,3,2,40.01011411,-122.6615611
CenCal,2013,5,1,40.01011411,-122.6615611
CenCal,2014,3,1,40.01011411,-122.6615611
CenCal,2015,5,0,40.01011411,-122.6615611
CenCal,2016,11,2,40.01011411,-122.6615611
CenCal,2017,11,0,40.01011411,-122.6615611
CenCal,2018,9,2,40.01011411,-122.6615611
CenCal,2019,5,0,40.01011411,-122.6615611
CenCal,2020,13,3,40.01011411,-122.6615611
Chico Metropolitan,2001,0,0,39.59149019,-121.675157
Chico Metropolitan,2002,2,3,39.59149019,-121.675157
Chico Metropolitan,2003,2,1,39.59149019,-121.675157
Chico Metropolitan,2004,2,0,39.59149019,-121.675157
Chico Metropolitan,2005,3,1,39.59149019,-121.675157
Chico Metropolitan,2006,3,0,39.59149019,-121.675157
Chico Metropolitan,2007,4,1,39.59149019,-121.675157
Chico Metropolitan,2008,1,0,39.59149019,-121.675157
Chico Metropolitan,2009,1,0,39.59149019,-121.675157
Chico Metropolitan,2010,6,0,39.59149019,-121.675157
